gene	SL-LOG1	SL-LOG2	SL-LOG3	SL-LOG4	SL-STAT1	SL-STAT2	SL-STAT3	SL-STAT4	SL-BPK275-1	SL-BPK275-2
LdBPK_040011700	278	696	312	512	1220	819	1080	1010	136	151
LdBPK_040011800	169	594	259	370	1074	862	932	1058	342	434
LdBPK_040011900	126	413	179	278	556	509	433	597	156	206
LdBPK_040012000	139	535	229	361	1896	1862	2030	2479	433	412
LdBPK_040012100	599	2037	966	1478	1532	1017	1103	1311	418	399
LdBPK_040012200	1442	4557	1936	3325	4714	3840	4879	5225	942	1082
LdBPK_040012300	11	12	6	8	23	14	12	15	9	8
LdBPK_040012400	23	42	30	54	69	72	93	87	19	10
LdBPK_040012500	73	231	149	185	383	314	323	324	96	119
LdBPK_040012600	166	558	234	382	3209	2424	2682	2989	434	425
LdBPK_040012700	99	265	145	219	504	490	523	557	231	191
LdBPK_040012800	43	121	56	129	208	189	158	180	318	352
LdBPK_040012900	3265	10824	4372	6453	9906	10143	11260	12191	1003	898
LdBPK_040013000	1349	5101	2246	3050	4783	4783	4090	5397	1316	1432
LdBPK_040013100	717	2915	1250	1540	2396	2248	2100	2682	590	742
LdBPK_040013200	162	512	219	297	573	464	424	521	222	281
LdBPK_040013300	123	415	200	328	829	734	769	908	231	299
LdBPK_040013400	224	752	294	477	769	627	589	778	243	280
LdBPK_040013500	136	362	191	352	533	324	430	455	190	171
LdBPK_040013600	21	71	22	39	75	64	57	65	44	32
LdBPK_040013700	123	282	139	244	453	308	397	440	139	152
LdBPK_040013800	73	174	78	126	301	296	286	346	68	90
LdBPK_040013900	308	1042	497	680	1152	1053	1273	1289	300	352
LdBPK_040014000	131	310	168	250	579	462	465	607	174	179
LdBPK_040014100	279	961	501	741	1673	1319	1489	1869	417	434
LdBPK_040014200	214	721	287	516	861	806	842	966	199	211
LdBPK_040014300	124	388	133	271	541	392	448	515	109	133
LdBPK_040014400	191	584	269	399	941	749	908	1052	262	241
LdBPK_040014500	32	133	60	91	169	174	181	178	96	94
LdBPK_040014600	217	696	346	521	921	797	922	1027	379	448
LdBPK_040014700	54	214	96	132	163	124	158	142	39	47
LdBPK_040014800	137	419	178	275	398	343	415	389	273	341
LdBPK_040014900	1273	4014	1829	3288	5703	5327	6293	6328	279	244
LdBPK_040015000	64	204	91	151	245	145	213	199	88	93
LdBPK_040015100	40	131	72	99	218	178	140	170	31	37
LdBPK_040015200	27	60	50	43	90	35	30	54	18	16
LdBPK_040015300	88	246	137	213	329	340	375	404	139	122
LdBPK_040015400	185	441	190	313	453	289	331	425	122	133
LdBPK_040015500	126	422	224	300	493	421	381	563	227	278
LdBPK_040015600	127	659	221	395	179	124	168	154	94	131
LdBPK_040015700	1074	3455	1719	2582	782	686	681	705	393	411
LdBPK_040015800	41	108	60	104	187	236	194	240	63	67
LdBPK_040015900	85	268	106	222	474	385	356	442	84	110
LdBPK_040016000	132	380	196	279	687	609	556	601	184	175
